The Goldfinch,Donna Tartt,2014
The Orphan Master's Son,Adam Johnson,2013
No Pulitzer prize for fiction was awarded in 2012
A Visit from the Goon Squad,Jennifer Egan,2011
Tinkers,Paul Harding,2010
Olive Kitteridge,Elizabeth Strout,2009
The Brief, Wondrous Life of Oscar Wao,Junot Diaz,2008
The Road,Cormac McCarthy,2007
March,Geraldine Brooks,2006
Gilead,Marilynne Robinson,2005
The Known World,Edward P. Jones,2004
Middlesex,Jeffrey Eugenides,2003
Empire Falls,Richard Russo,2002
The Amazing Adventures of Kavalier & Clay,Michael Chabon,2001
Interpreter of Maladies,Jhumpa Lahiri,2000
The Hours,Michael Cunningham,1999